Time;Time2;Force;CoM vertical velocity;VL;SOL;VL_Smoothed Y1;SOL_Smoothed Y2;CoM vertical position;CoM vertical position2;_1;_2
s;%;N;ms-1;V;V;;;cm;mm;;
;"Normalize to [0-100] of ""Time""";;"Divided by 71.82825 on ""CoM velocity""";;;"50 pts SG smooth of ""VL""";"50 pts SG smooth of ""SOL""";Integrate of CoM velocity x=(0100) Area = 9.93124;"Multiply 10 on ""Integrated Y1""";;
2.888;79.5428571428571;694.294885;1.11286592477057;0.527649;0.265198;4,19151E+14;0.0965903236077827;-31.570766214152;-315.70766214152;;
2.889;79.6571428571428;695.114885;1.12253767512249;0.435944;0.0991821;4,00139E+14;0.1094619164536;-31.4430288655867;-314.430288655867;;
2.89;79.7714285714286;696.234885;1.13222292991068;0.0141907;0.124512;3,73627E+14;0.116858981038302;-31.3141854024419;-313.141854024419;;
2.891;79.8857142857143;697.464885;1.14192454316548;0.363007;0.132599;3,50896E+14;0.130059226413056;-31.1842341182662;-311.842341182662;;
2.892;80;698.674885;1.15164314138135;0.525513;0.072937;3,26403E+14;0.133116989455254;-31.0531731077206;-310.531731077206;;
2.893;80.1142857142857;699.474885;1.16137573130696;0.662537;0.123291;2,95277E+14;0.139286466468323;-30.9210006007099;-309.210006007099;;
2.894;80.2285714285714;700.864885;1.17112356593124;0.604248;0.0610352;2,64389E+14;0.153902111573535;-30.7877149265819;-307.877149265819;;
2.895;80.3428571428571;702.314885;1.18089116993643;0.263824;0.059967;2,49994E+14;0.157330464300664;-30.6533140845324;-306.533140845324;;
2.896;80.4571428571428;702.564885;1.19067060772598;0.0506592;0.16449;2,62911E+14;0.170432425759587;-30.517796268666;-305.17796268666;;
2.897;80.5714285714285;703.704885;1.20045972137451;0.0796509;0.17334;2,72576E+14;0.181834982537996;-30.3811602498602;-303.811602498602;;
2.898;80.6857142857143;705.494885;1.21026923089842;0.238953;0.0712585;2,7229E+13;0.179577719464087;-30.2434043097303;-302.434043097303;;
2.899;80.8;707.064885;1.22010212954906;0.408783;0.0233459;2,52577E+13;0.177967058657501;-30.1045259462762;-301.045259462762;;
2.9;80.9142857142857;707.814885;1.22995117783481;0.118408;0.104675;2,32365E+14;0.183431537287821;-29.96452290014;-299.6452290014;;
2.901;81.0285714285714;709.634885;1.23981811601809;0.262146;0.19104;2,30955E+14;0.201828600683368;-29.8233932262055;-298.233932262055;;
2.902;81.1428571428572;711.074885;1.24970774722314;0.300598;0.201569;2,42975E+14;0.216888973786949;-29.6811346054489;-296.811346054489;;
2.903;81.2571428571429;712.244885;1.25961554676768;0.0642395;0.100403;2,60392E+14;0.228770727222814;-29.5377447029351;-295.377447029351;;
2.904;81.3714285714286;713.854885;1.26954269803018;0.257111;0.126343;2,7104E+13;0.243979013054429;-29.393221374661;-293.93221374661;;
2.905;81.4857142857143;715.064885;1.2794894794526;0.304565;0.321808;2,65331E+13;0.257167210898095;-29.2475623930905;-292.475623930905;;
2.906;81.6;716.744885;1.28945637830843;0.268402;0.348511;2,7793E+14;0.267016659771229;-29.1007654869327;-291.007654869327;;
2.907;81.7142857142857;717.904885;1.29944304654518;0.131226;0.423584;2,79898E+14;0.269067848623978;-28.9528283769411;-289.528283769411;;
2.908;81.8285714285714;719.454885;1.3094485792264;0.00396729;0.492554;2,70778E+14;0.269138741201386;-28.8037488554685;-288.037488554685;;
2.909;81.9428571428571;721.714885;1.31948063350667;0.192108;0.443726;2,68981E+14;0.267956449070194;-28.6535243290266;-286.535243290266;;
2.91;82.0571428571429;723.584885;1.32954143692188;0.0621033;0.122833;2,64614E+14;0.274993886011008;-28.5021516392877;-285.021516392877;;
